,Density,Efficiency,# of connected components,# of cluster,Fraction of nodes in the largest connected component,Connected components entropy,Fraction of nodes in the center,Fraction of nodes in the periphery,Fraction of nodes in the barycenter,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Assortativity coefficient analysis,Shortest path length analysis,Average eccentricity,Average degree,Average communicability,Average node similarity,Average node betweenness centrality,Average edge betweenness centrality
pre2_09DIV_CS1_FOV1,0.2720125489220056,0.03915302263844021,0.21764705882352942,0.4782608695652174,0.6288979194044333,0.4563220644528514,0.040482473111084605,0.011920133870376246,0.006700990629781435,0.6269592476489028,0.41358744643673406,0.49151094613549867,0.5313578609621654,0.9759397746634655,0.061302590526983176,0.09301673366364399,0.24661246612466126,2.630141467087485e-16,0.0,0.36834876499155655,0.46681882906409067
pre1_09DIV_CS1_FOV4,0.327168709369382,0.017063797405048278,0.1323529411764706,0.6260869565217392,0.8986370514725249,0.15609414524178777,0.014505884965578504,0.008656786638438014,0.002432509235578289,0.7668711656441717,0.7289691199653788,0.7165505170784315,0.5030208535154377,0.9453823356105775,0.02943782539278377,0.03378577331142371,0.3211764705882353,4.78893624643551e-17,0.0,0.7128386821353735,0.6588780377258964
pre3_09DIV_CS4_FOV4,0.16261347999066225,0.13052026507685355,0.4676470588235294,0.3965217391304348,0.18180300936600505,0.7748815085255804,0.06267751323678951,0.047282992237120666,0.028772378516624036,0.6278133143804786,0.3574648072808869,0.36308405247274145,0.7224493704401849,0.8136687590039515,0.15053695995748373,0.20625222024866785,0.11179361179361179,2.4978810944555486e-09,0.0,0.02598601576165301,0.0495939838912426
pre3_09DIV_CS5_FOV4,0.24398503130731064,0.0074500555382733535,0.1911764705882353,0.7373913043478261,0.8498096914671388,0.21728956887068174,0.008472782850648588,0.0006642035783967779,0.0016448523143272643,0.7103979642326995,0.6707349681559557,0.577200049407617,0.583169313488737,0.8432704699507122,0.02753204829837525,0.04180770133047354,0.2681728880157171,3.070303089669451e-17,0.0,0.5894904825780363,0.5895082642783223
pre3_09DIV_CS3_FOV4,0.262194658218205,0.10762690032283982,0.3,0.36000000000000004,0.3934307933540783,0.6391775288286435,0.03555769022202253,0.02553708292987149,0.015199878400972793,0.7152268021833239,0.4418683026480342,0.3308348027269105,0.4900459325069533,0.854005073822666,0.07729384529030267,0.11878330373001778,0.2765957446808511,2.206111766971138e-10,0.0,0.10749492055526352,0.16501598533914447
pre3_09DIV_CS2_FOV4,0.25281671164465785,0.01923530362955249,0.20588235294117646,0.8469565217391305,0.8680657206332901,0.1901515775499678,0.030657068729248255,0.016156887045228954,0.0008403856417080798,0.8243472061313608,0.8378488403332872,0.7485040734584174,0.4602387958117422,0.852886294257702,0.010321739449430517,0.0108995669836814,0.23656845753899483,6.033007654798029e-17,0.0,0.4488313923604178,0.38812017843916996
pre3_09DIV_CS3_FOV1,0.23267296536652016,0.0001919136515342451,0.19705882352941176,0.7495652173913044,0.8388388241910439,0.22876248248482794,0.0005850900336543791,0.003774838486825252,0.001617182867444911,0.6883789785344189,0.5965707468597626,0.4642849049599744,0.5933499359151031,0.8676343603618911,0.03914460255743341,0.05856453105846446,0.2635135135135135,0.0,0.0,0.6797162406023114,0.6898966614165789
pre3_09DIV_CS2_FOV1,0.1972616350676116,0.012118401562772371,0.3029411764705882,0.8208695652173913,0.7323722347963446,0.3185514259858185,0.0005668326787580621,0.0037309197506798066,0.0015897714107432773,0.7376754228139618,0.6938535792667034,0.5364735163405132,0.5816520625259969,0.8138706326659516,0.022332591110783166,0.02636078418352948,0.22941176470588237,3.774844958319032e-17,0.0,0.34670511122332764,0.35938551618393977
pre3_09DIV_CS3_FOV3,0.08197482117510266,0.371551165506993,0.6970588235294117,0.30434782608695654,0.02992824067299469,0.9153656647965825,0.1934004781126308,0.23097679438747976,0.14342309813951157,0.5260243632336655,0.14713610089332618,0.07791885886022352,0.9038336815811667,0.603550403303776,0.35042634062231454,0.4125222024866785,0.10532407407407407,0.002200856582913841,0.0,0.0012191662999199418,0.004247138997193767
pre3_09DIV_CS2_FOV3,0.30808487719666494,0.026023725084704366,0.13529411764705884,0.7200000000000001,0.8867661476777196,0.16737902848128117,0.01267097851830837,0.0007698723295053566,0.0017437805161590325,0.7827404331724834,0.7640173410404616,0.6828754128699871,0.523776517860846,0.8565328271478134,0.016380905166994822,0.020713801960208028,0.284375,9.724309626915495e-17,0.0,0.5410123147363302,0.4717982549685439
