,Density,Efficiency of the LCC,# of connected components,# of communities,Fraction of nodes in the LCC,Connected components entropy,Fraction of nodes in the center in the LCC,Fraction of nodes in the periphery in the LCC,Fraction of nodes in the barycenter in the LCC,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Mean Assortativity coefficient of the LCC,Mean shortest path length of the LCC,Average eccentricity of the LCC,Average degree,Average communicability of the LCC,Average node similarity of the LCC,Average node betweenness centrality,Average edge betweenness centrality
pre2_05DIV_CS4_FOV1,0.0022233580373115258,0.17605887498693584,266.0,294.0,0.14285714285714285,0.8408227131468953,0.025,0.025,0.0125,0.2275132275132275,0.08971088435374157,0.014354373298196879,0.9325744814374424,-0.035940023068051725,0.12577711905143407,0.26582278481012656,1.2428571428571429,1.501264512300613e-10,0.0,0.00040533256024628887,0.000739926005563535
pre1_05DIV_CS4_FOV4,0.001806009084772972,0.26300410645998834,324.0,250.0,0.06968641114982578,0.8991268084269677,0.075,0.05,0.025,0.2887323943661972,0.09332171893147502,0.011261982428540549,0.9441553582967714,0.027502750275027184,0.1548980933596318,0.3076923076923077,1.0348432055749128,1.8203148716794452e-05,0.0,0.0001021198186311199,0.00024143181679469036
pre3_05DIV_CS1_FOV4,0.0007910254566374227,0.7166666666666668,346.0,63.0,0.012224938875305624,0.9875512434316839,0.4,0.6,0.2,0.34615384615384615,0.013854930725346371,0.006519967400162999,0.9692378328741973,-0.11111111111111355,0.425,0.75,0.32273838630806845,0.573267072562722,0.0,7.067459965489593e-07,1.9975390319126813e-05
pre2_05DIV_CS4_FOV4,0.0016169455897809039,0.25573477448477394,334.0,255.0,0.06791171477079797,0.9226561183947497,0.025,0.1,0.05,0.2358490566037736,0.0597623089983022,0.00650791552989748,0.9601339285714282,0.16551724137931062,0.1428336620644313,0.24358974358974358,0.9507640067911715,1.52406836768066e-05,0.0,4.6955958262498486e-05,0.00012950001732441686
pre2_05DIV_CS4_FOV5,0.0018623007430703296,0.3470084776334779,303.0,267.0,0.028070175438596492,0.9275888188269956,0.125,0.25,0.125,0.24866310160427807,0.08222222222222222,0.009305509840256318,0.9712951186351478,-0.5714285714285714,0.31777777777777777,0.6,1.0596491228070175,0.0019179207651944907,0.0,2.0931558580353938e-05,6.093050104515006e-05
pre1_05DIV_CS4_FOV1,0.0008195687807338293,0.6666666666666665,272.0,37.0,0.019417475728155338,0.9883222334895123,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3,0.016720604099244876,0.0,0.9401709401709398,-0.4666666666666666,0.36,0.6,0.2524271844660194,0.281216019394651,0.17677669529663687,1.3690282815231425e-06,4.095149726217684e-05
pre3_05DIV_CS1_FOV1,0.0018288552720704448,0.24841969654994853,297.0,219.0,0.06782945736434108,0.9088307811713773,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.21875,0.06802325581395348,0.015491326610512656,0.9498128672797168,0.03426791277258594,0.19332674246169054,0.35294117647058826,0.9418604651162791,4.657016136783878e-06,0.0,8.186522094238563e-05,0.00021893982824884407
pre3_05DIV_CS1_FOV3,0.001630607699650016,0.39697656840514006,295.0,154.0,0.0334075723830735,0.944571082890386,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.17307692307692307,0.03711952487008167,0.0013999363665287941,0.9585068411659713,-0.009615384615385452,0.25442176870748295,0.42857142857142855,0.7305122494432071,0.01221513845788876,0.0,2.217651383956821e-05,9.38496698043659e-05
pre1_05DIV_CS4_FOV3,0.0008790857508191481,0.7333333333333334,326.0,62.0,0.01288659793814433,0.9864789819312034,0.6,0.4,0.4,0.4,0.024054982817869414,0.0,0.9669421487603315,-0.562500000000003,0.4,0.5,0.3402061855670103,0.5400793489964719,0.33333333333333337,8.971671189079072e-07,2.3006376398848247e-05
pre1_05DIV_CS4_FOV2,0.0035658307210031347,0.18407636168872976,162.0,158.0,0.215625,0.8286480597370001,0.028985507246376812,0.043478260869565216,0.014492753623188406,0.21352313167259787,0.07156250000000001,0.009762580600643037,0.9024121482912687,0.041510611735329675,0.1334624642695953,0.2647058823529412,1.1375,3.803384396609071e-09,0.0,0.0012317999447960409,0.002451320231492644
pre3_05DIV_CS1_FOV2,0.0016554062081693109,0.2998656252624496,316.0,187.0,0.055666003976143144,0.936330487854987,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.26359832635983266,0.06070245195493705,0.013116484353392589,0.9593301435406713,-0.06360792492179403,0.17470115618263765,0.2962962962962963,0.831013916500994,0.00012288433374103809,0.0,3.4132901693622733e-05,0.0001143750357421987
pre2_09DIV_CS3_FOV1,0.006758503961071017,0.10570892213217425,54.0,359.0,0.8232445520581114,0.2825842178456142,0.0029411764705882353,0.008823529411764706,0.0029411764705882353,0.29818181818181816,0.2318805488297013,0.04872437805195401,0.8381156899810964,0.23375822273779762,0.042521281883155536,0.08259587020648967,2.7845036319612593,1.3551849529711002e-16,0.0,0.022111153875170174,0.016983882820572813
pre2_09DIV_CS2_FOV1,0.01021380662099225,0.12927009472826057,30.0,304.0,0.8952095808383234,0.20039389422028325,0.03678929765886288,0.006688963210702341,0.0033444816053511705,0.3270978086584714,0.2873348541013209,0.06925563027360039,0.819196649970244,0.27476671856470486,0.038300046444019596,0.08053691275167785,3.4011976047904193,2.0372592501871623e-14,0.0,0.025127645501355895,0.01609792722637454
pre1_09DIV_CS2_FOV4,0.006045502792007015,0.10206951617416875,73.0,393.0,0.7639484978540773,0.3381349174325192,0.0028089887640449437,0.011235955056179775,0.0028089887640449437,0.32175689479060265,0.26832209278561214,0.05452495112986986,0.8730307091661325,0.13921276442462643,0.044477486854980174,0.08732394366197183,2.811158798283262,1.124317652867468e-16,0.0,0.018599389561760722,0.01406933393080276
pre2_09DIV_CS2_FOV2,0.010987392482620479,0.13309801033893132,14.0,355.0,0.962059620596206,0.0976531783610629,0.0028169014084507044,0.008450704225352112,0.0028169014084507044,0.35615440640932267,0.3750742031229839,0.08679925787114245,0.8062984712029844,0.16465103183767799,0.02998845959667482,0.05649717514124294,4.043360433604336,7.163665277296061e-14,0.0,0.024248337495814214,0.013169724015692212
pre2_09DIV_CS3_FOV2,0.007868969200640912,0.11155724730295244,47.0,364.0,0.8637469586374696,0.2352240299483558,0.0028169014084507044,0.011267605633802818,0.0028169014084507044,0.32689655172413795,0.27694936855520796,0.06350744840376898,0.8394040526060754,0.1316212711377417,0.03961199608516431,0.07909604519774012,3.2262773722627736,1.942890293094024e-16,0.0,0.023745734039711495,0.015773705710766497
